SFTYPE,OFFENSE,RACE,lat,lon,beatnumdot,Year,Month,BEAT_NO
NA,NA,B,38.05078743446859,-78.5014844588565,26,2020,01,11
NA,NA,B,38.05192298838932,-78.50174683121425,26,2020,03,11
NA,NA,B,38.05177484701193,-78.50205573361343,26,2020,03,11
NA,NA,B,38.05116684457831,-78.5017622793155,26,2020,03,11
NA,NA,B,38.049929850307436,-78.50249557389421,26,2020,03,11
NA,NA,B,38.05382597561886,-78.49995603758208,26,2020,03,11
NA,NA,B,38.05131050062296,-78.48508040332773,27,2020,03,11
NA,NA,B,38.05110506108474,-78.49064671038086,27,2020,03,11
NA,NA,W,38.050847674633005,-78.49596122737807,27,2020,02,11
NA,NA,B,38.047633571754076,-78.49273409655503,27,2020,04,12
NA,NA,B,38.050386975296455,-78.48117850491502,27,2020,02,12
NA,NA,B,38.050372956924036,-78.48282971172027,27,2020,01,12
NA,NA,B,38.05209154133663,-78.48360654542101,27,2020,01,12
NA,NA,W,38.05666921724561,-78.47807706984884,28,2020,04,12
NA,NA,W,38.058542727480486,-78.470759661408,28,2020,04,12
NA,NA,W,38.05730015332154,-78.47563668833116,28,2020,01,12
NA,NA,B,38.05909455520225,-78.48121871205457,28,2020,04,13
NA,NA,B,38.05923765628789,-78.47419151324223,28,2020,04,13
NA,NA,B,38.05369183538663,-78.4723496908416,28,2020,02,13
NA,NA,B,38.057713986853166,-78.47933848362548,28,2020,02,13
NA,NA,B,38.058916673575304,-78.48228154048155,28,2020,01,13
NA,NA,B,38.054479649406964,-78.47677441990551,28,2020,01,13
NA,NA,W,38.05867350349082,-78.47227198858769,28,2020,02,13
NA,NA,B,38.058869773461154,-78.48183358586584,28,2020,03,14
NA,NA,W,38.05560986576805,-78.48023021524523,28,2020,02,14
NA,NA,B,38.059018572924664,-78.47747129260597,29,2020,01,15
NA,NA,B,38.06434444998017,-78.46827750274652,29,2020,03,15
NA,NA,W,38.067613983371345,-78.47112567188546,29,2020,02,15
NA,NA,W,38.06050705570235,-78.47777115305914,29,2020,02,15
NA,NA,W,38.06558137280563,-78.47406156849213,29,2020,01,15
NA,NA,W,38.06200533663017,-78.47913069549035,29,2020,03,15
NA,NA,B,38.065520041267696,-78.47583456176756,29,2020,04,16
NA,NA,B,38.060840787720466,-78.47598880646464,29,2020,01,16
NA,NA,B,38.06495579405605,-78.48668085551188,30,2020,01,16
NA,NA,B,38.06111196961005,-78.49089656206145,30,2020,01,16
NA,NA,B,38.065758575893156,-78.48248520209123,30,2020,03,16
NA,NA,W,38.06528134817044,-78.48773691966429,30,2020,04,16
NA,NA,W,38.06354590061567,-78.48415542501563,30,2020,02,16
NA,NA,W,38.06092654270965,-78.49138429984194,30,2020,01,16
NA,NA,B,38.063909673496376,-78.48930660876906,30,2020,02,17
NA,NA,B,38.06451194297316,-78.48211583625768,30,2020,02,17
NA,NA,B,38.06749006562524,-78.48419693394811,30,2020,04,18
NA,NA,B,38.063512788068145,-78.48601135782845,30,2020,01,18
NA,NA,B,38.06415336985898,-78.48381628605198,30,2020,01,18
NA,NA,W,38.05708636646798,-78.49121369782489,30,2020,02,18
NA,NA,W,38.05817525524005,-78.49414791355731,30,2020,01,18
NA,NA,W,38.06207686187173,-78.48551399032596,30,2020,01,18
NA,NA,W,38.0615675486189,-78.4891129975376,30,2020,03,18
NA,NA,W,38.066528704264826,-78.48601887755142,30,2020,04,19
NA,NA,W,38.05922341172962,-78.48744239142503,30,2020,02,19
NA,NA,W,38.06751175159789,-78.48466302965825,30,2020,03,19
NA,NA,B,38.06452738758221,-78.4844582400577,30,2020,04,20
NA,NA,B,38.062949060474146,-78.489853610273,30,2020,04,20
NA,NA,B,38.06377697082813,-78.48818643891612,30,2020,02,20
NA,NA,W,38.064439677060996,-78.4892349477485,30,2020,01,20
NA,NA,B,38.06230908483127,-78.49111295319156,30,2020,02,21
NA,NA,B,38.06052100476618,-78.48591732608642,30,2020,01,21
